symbol,date,price
Perth,Jan 2010,7.40
Perth,Jan 2011,8.00
Perth,Jan 2012,7.90
Perth,Jan 2013,7.40
Perth,Jan 2014,6.90
Goldfields,Jan 2010,41
Goldfields,Jan 2011,42
Goldfields,Jan 2012,38
Goldfields,Jan 2013,61
Goldfields,Jan 2014,53
Mid West,Jan 2010,33
Mid West,Jan 2011,36
Mid West,Jan 2012,34
Mid West,Jan 2013,32
Mid West,Jan 2014,31
North West,Jan 2010,51
North West,Jan 2011,56
North West,Jan 2012,57
North West,Jan 2013,58
North West,Jan 2014,58
South West,Jan 2010,28
South West,Jan 2011,28
South West,Jan 2012,29
South West,Jan 2013,27
South West,Jan 2014,27
